"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 19 12:29:59 GMT 2022","Tue Jul 19 12:30:02 GMT 2022","2820","","SeleniumTest","","SeleniumTest","TableTest","TableTest()",""
"passed","Tue Jul 19 12:30:02 GMT 2022","Tue Jul 19 12:30:06 GMT 2022","4303","","SeleniumTest","","SeleniumTest","AlertTest","AlertTest()",""
"passed","Tue Jul 19 12:30:10 GMT 2022","Tue Jul 19 12:30:12 GMT 2022","2347","","SeleniumTest","","SeleniumTest","NamecardTest","NamecardTest()",""
"passed","Tue Jul 19 12:29:56 GMT 2022","Tue Jul 19 12:29:59 GMT 2022","2900","","SeleniumTest","","SeleniumTest","SelectDayTest","SelectDayTest()",""
"passed","Tue Jul 19 12:30:06 GMT 2022","Tue Jul 19 12:30:10 GMT 2022","3334","","SeleniumTest","","SeleniumTest","TestInput","TestInput()",""
